sending slot 2
slot 1, parent 0, max_prob 86, total 150 ==>  setting strategy, parent 0 
slot 2, parent 1, max_prob 82, total 150 ==>  setting strategy, parent 1 
slot 3, parent 1, max_prob 81, total 150 ==>  setting strategy, parent 1 
slot 4, parent 1, max_prob 2, total 150 ==>  setting strategy, parent 255 
slot 11, parent 0, max_prob 3, total 150 ==>  setting strategy, parent 255 
slot 12, parent 1, max_prob 4, total 150 ==>  setting strategy, parent 255 
slot 13, parent 0, max_prob 96, total 150 ==>  setting strategy, parent 0 
slot 14, parent 1, max_prob 90, total 150 ==>  setting strategy, parent 1 
sent=10, activity=7.30%
sent=20, activity=6.10%
sent=30, activity=6.10%
sent=40, activity=6.0%
sent=50, activity=6.20%
sent=60, activity=6.20%
sent=70, activity=6.0%
sent=80, activity=6.30%
sent=90, activity=6.10%
sent=100, activity=9.40%
sent=110, activity=5.80%
sent=120, activity=6.10%
sent=130, activity=6.0%
sent=140, activity=5.80%
sent=150, activity=6.0%
sent=160, activity=6.10%
sent=170, activity=5.90%
sent=180, activity=6.20%
sent=190, activity=5.80%
sent=200, activity=9.70%
sent=210, activity=9.30%
