slot 1, parent 5, max_prob 54, total 150 ==>  setting strategy, parent 5 
slot 2, parent 7, max_prob 96, total 150 ==>  setting strategy, parent 7 
slot 3, parent 6, max_prob 2, total 150 ==>  setting strategy, parent 255 
slot 4, parent 0, max_prob 94, total 150 ==>  setting strategy, parent 0 
slot 5, parent 6, max_prob 86, total 150 ==>  setting strategy, parent 6 
slot 6, parent 7, max_prob 2, total 150 ==>  setting strategy, parent 255 
slot 15, parent 0, max_prob 58, total 150 ==>  setting strategy, parent 0 
sent=10, activity=6.60%
sent=20, activity=5.70%
sent=30, activity=5.80%
sent=40, activity=5.70%
sent=50, activity=5.60%
sent=60, activity=5.80%
sent=70, activity=5.50%
sent=80, activity=6.0%
sent=90, activity=8.60%
sent=100, activity=9.30%
sent=110, activity=8.20%
sent=120, activity=9.40%
sent=130, activity=9.70%
sent=140, activity=8.80%
sent=150, activity=9.90%
sent=160, activity=7.40%
sent=170, activity=8.50%
sent=180, activity=8.0%
sent=190, activity=12.90%
sent=200, activity=10.40%
