slot 1, parent 1, max_prob 2, total 150 ==>  setting strategy, parent 255 
slot 2, parent 1, max_prob 2, total 150 ==>  setting strategy, parent 255 
slot 3, parent 0, max_prob 2, total 150 ==>  setting strategy, parent 255 
slot 5, parent 0, max_prob 84, total 150 ==>  setting strategy, parent 0 
slot 6, parent 1, max_prob 74, total 150 ==>  setting strategy, parent 1 
slot 7, parent 1, max_prob 1, total 150 ==>  setting strategy, parent 255 
slot 8, parent 0, max_prob 84, total 150 ==>  setting strategy, parent 0 
slot 9, parent 1, max_prob 1, total 150 ==>  setting strategy, parent 255 
slot 10, parent 1, max_prob 72, total 150 ==>  setting strategy, parent 1 
slot 11, parent 0, max_prob 8, total 150 ==>  setting strategy, parent 255 
slot 12, parent 1, max_prob 6, total 150 ==>  setting strategy, parent 255 
slot 13, parent 0, max_prob 7, total 150 ==>  setting strategy, parent 255 
slot 14, parent 1, max_prob 9, total 150 ==>  setting strategy, parent 255 
slot 15, parent 1, max_prob 80, total 150 ==>  setting strategy, parent 1 
sent=10, activity=7.60%
sent=20, activity=7.70%
sent=30, activity=6.30%
sent=40, activity=6.60%
sent=50, activity=6.60%
sent=60, activity=6.60%
sent=70, activity=6.60%
sent=80, activity=5.90%
sent=90, activity=5.80%
sent=100, activity=6.30%
sent=110, activity=6.80%
sent=120, activity=6.40%
sent=130, activity=6.50%
sent=140, activity=6.70%
sent=150, activity=6.10%
sent=160, activity=5.90%
sent=170, activity=5.90%
sent=180, activity=6.10%
sent=190, activity=5.50%
sent=200, activity=5.80%
